iter	Logloss
0	0.520630551
1	0.3852880005
2	0.3192198935
3	0.2650268585
4	0.2327119453
5	0.2062442677
6	0.1933439087
7	0.1754125559
8	0.1623805444
9	0.1538938666
10	0.1453891574
11	0.1376838151
12	0.1321430118
13	0.1264007674
14	0.1202859997
15	0.1150305859
16	0.1112728057
17	0.1078681196
18	0.1055876827
19	0.1038160745
20	0.100210025
21	0.09729373226
22	0.09402731742
23	0.09156976678
24	0.08855489629
25	0.0860123705
26	0.08380434162
27	0.08166726774
28	0.08065512554
29	0.07936434849
30	0.07831343569
31	0.07588747102
32	0.07419892087
33	0.07265645879
34	0.07083418667
35	0.06916394636
36	0.06801927416
37	0.06679549974
38	0.06584249283
39	0.06449174405
40	0.06244500928
41	0.06128738493
42	0.0599364949
43	0.05901949703
44	0.0573369443
45	0.05666855048
46	0.05576673764
47	0.05515585737
48	0.0538983703
49	0.05255663333
50	0.05195208706
51	0.05086114977
52	0.04973184528
53	0.04865603947
54	0.0475026247
55	0.04680101369
56	0.04562712695
57	0.04441522353
58	0.04330810851
59	0.04236124933
60	0.04145020894
61	0.04083674938
62	0.03993838322
63	0.03896816729
64	0.03806140177
65	0.03723247874
66	0.03650331582
67	0.03567650844
68	0.03517260222
69	0.03501763042
70	0.03408659895
71	0.03366338143
72	0.03333869613
73	0.03265709951
74	0.03206488375
75	0.03162299157
76	0.03120163497
77	0.03075515211
78	0.03016949167
79	0.02959106636
80	0.02926493665
81	0.02867739616
82	0.02813979553
83	0.02806533284
84	0.02787656166
85	0.02760488617
86	0.0270913908
87	0.02632891918
88	0.0256704849
89	0.02497311512
90	0.02449968021
91	0.02412728936
92	0.02391734621
93	0.02339038295
94	0.02334200452
95	0.02299873541
96	0.02267655772
97	0.02216227748
98	0.02207023373
99	0.02179153479
