iter	Passed	Remaining
0	7	694
1	16	799
2	25	833
3	34	824
4	43	835
5	53	833
6	60	800
7	68	788
8	75	767
9	83	749
10	131	1063
11	142	1042
12	157	1055
13	175	1078
14	185	1049
15	209	1100
16	220	1077
17	230	1049
18	238	1018
19	249	997
20	259	976
21	268	951
22	284	952
23	293	930
24	300	902
25	314	896
26	323	875
27	330	850
28	338	828
29	347	810
30	354	789
31	363	772
32	371	754
33	379	737
34	388	720
35	401	714
36	411	700
37	422	689
38	429	672
39	439	659
40	450	647
41	458	633
42	467	620
43	478	608
44	486	594
45	494	580
46	504	569
47	515	557
48	523	544
49	532	532
50	540	519
51	549	506
52	558	494
53	565	482
54	575	470
55	584	459
56	594	448
57	603	436
58	625	434
59	634	422
60	643	411
61	650	398
62	661	388
63	671	377
64	682	367
65	690	355
66	702	346
67	711	334
68	720	323
69	732	314
70	743	303
71	751	292
72	761	281
73	773	271
74	781	260
75	790	249
76	800	239
77	808	228
78	820	217
79	831	207
80	839	197
81	848	186
82	855	175
83	866	165
84	874	154
85	882	143
86	890	133
87	899	122
88	908	112
89	918	102
90	926	91
91	933	81
92	941	70
93	948	60
94	957	50
95	964	40
96	973	30
97	979	19
98	988	9
99	996	0
